COMPANY_FKEY,RES_NOTIF_KEY,RES_ACCOUNTING,RES_ACC_RES_FKEY_LIST,RES_FRAUD,RES_FRAUD_RES_FKEY_LIST,RES_CLER_ERR,RES_CLER_ERR_FKEY_LIST,RES_ADVERSE,RES_BEGIN_DATE,RES_END_DATE,RES_SEC_INVEST,DATE_OF_8K_402,FORM_FKEY,FILE_DATE
0000023666,39033,0,,1,|6|11|44|,0,,1,01/07/2007,31/12/2011,0,02/08/2012,Press Release,01/08/2012
0000023675,50579,1,|7|,0,,0,,1,01/01/2007,31/03/2007,0,,10-Q,11/08/2008
0000024491,32699,1,|4|13|,0,,0,,1,01/01/2006,31/03/2010,0,27/07/2010,8-K,27/07/2010
0000024545,47218,1,|4|11|44|,0,,0,,1,01/01/2012,29/12/2012,0,,10-Q,07/05/2013
0000024545,46046,1,|13|18|37|,0,,0,,1,01/01/2013,30/06/2013,0,,10-Q,06/11/2013
0000024545,47619,1,|18|,0,,0,,1,01/01/2010,31/12/2013,0,,10-Q,06/08/2014
0000024741,8460,1,|7|11|12|28|,0,,0,,1,31/03/2003,31/12/2005,0,25/04/2006,8-K,25/04/2006
0000024741,41095,1,|18|,0,,0,,1,01/01/2010,31/12/2011,0,,10-K,13/02/2013
0000025354,23812,1,|6|7|10|13|18|19|20|35|37|45|,0,,0,,1,01/02/2007,21/07/2007,0,21/12/2007,10-Q,21/12/2007
0000025354,25388,0,,0,,1,|18|,0,01/02/2005,04/02/2006,0,16/04/2008,8-K,16/04/2008
0000025793,25011,1,|19|35|69|,0,,0,,1,01/01/2005,31/12/2006,0,,10-K,13/03/2008
0000026058,15794,1,|12|20|,0,,0,,1,01/01/2005,30/09/2006,0,09/02/2007,Press Release,31/01/2007
0000026076,35917,1,|11|13|37|44|,0,,0,,1,01/01/2010,30/09/2010,0,05/08/2011,10-Q,05/08/2011
0000026076,36188,1,|8|35|,0,,0,,1,01/01/2010,30/09/2010,0,,10-Q,05/08/2011
0000026076,39031,1,|6|,0,,0,,0,01/10/2007,30/06/2012,0,01/08/2012,8-K,01/08/2012
0000026076,45087,1,|6|,0,,0,,0,01/10/2008,30/09/2013,0,10/02/2014,8-K,10/02/2014
0000026324,40156,1,|20|23|,0,,0,,1,01/01/2007,31/12/2011,0,,Press Release,06/11/2012
0000026324,46736,1,|6|20|,0,,0,,1,01/01/2011,30/06/2013,0,,10-K,21/02/2014
0000027996,44798,1,|4|11|19|44|,0,,0,,1,01/01/2011,30/06/2012,0,,10-Q,31/10/2012
0000028823,18844,1,|3|19|20|23|,0,,0,,1,01/01/2004,31/12/2005,0,,10-K,01/03/2007
0000028823,24078,1,|6|,0,,0,,1,01/01/2003,31/03/2007,1,15/01/2008,NT 10-Q,09/08/2007
0000028823,43889,1,|11|18|44|,0,,0,,1,01/01/2009,31/12/2012,0,,Press Release,06/08/2013
0000029332,19703,1,|7|9|10|19|69|,0,,0,,1,01/01/2003,30/12/2006,0,13/07/2007,10-K/A,13/07/2007
0000029332,34646,1,|12|,0,,0,,1,01/01/2006,26/12/2009,0,,10-K,14/03/2011
0000029332,38277,1,|12|,0,,0,,1,01/01/2010,31/12/2010,0,,10-K,22/03/2012
0000029332,44833,1,|4|,0,,0,,1,01/01/2010,31/12/2011,0,,10-K,25/03/2013
0000029534,16664,1,|12|,0,,0,,0,01/02/2005,03/02/2006,0,,10-K,29/03/2007
0000029806,25180,1,|1|12|18|23|,0,,0,,1,01/01/2006,30/09/2007,0,31/03/2008,Press Release,31/03/2008
0000030305,45218,1,|18|,0,,0,,1,01/01/2012,31/12/2012,0,,10-K,27/02/2014
0000030697,46381,1,|12|18|,0,,0,,1,01/01/2011,01/01/2012,0,,10-K,28/02/2013
0000030697,45225,1,|1|18|,0,,0,,1,01/01/2010,31/12/2012,0,,10-K,27/02/2014
0000030697,47630,1,|21|42|,0,,0,,1,01/01/2012,28/06/2014,0,,10-Q,06/11/2014
0000030822,23034,1,|18|,0,,0,,0,31/01/2004,31/12/2006,0,,8-K,03/05/2007
0000030822,31341,0,,0,,1,|19|36|,1,01/01/2009,31/12/2009,0,,10-K/A,29/03/2010
0000030828,36237,1,|7|,0,,0,,1,01/07/2006,31/03/2011,0,,10-Q,12/08/2011
0000030831,35292,1,|4|,0,,0,,1,01/10/2008,30/09/2009,0,,10-Q,16/08/2010
0000030831,41005,0,,0,,1,|19|36|,1,01/10/2011,30/09/2012,0,,10-K/A,14/02/2013
0000031347,25494,0,,0,,1,|17|21|42|,1,01/01/2003,31/12/2007,0,22/04/2008,8-K,22/04/2008
0000031462,40128,1,|18|,0,,0,,1,01/01/2011,31/03/2012,0,,10-Q,02/08/2012
0000031791,38284,1,|6|20|,0,,0,,1,01/01/2009,30/09/2011,0,,10-K,28/02/2012
0000033769,42065,1,|3|43|,0,,0,,1,01/05/2012,25/01/2013,0,01/05/2013,Press Release,01/05/2013
0000033769,42865,1,|18|,0,,0,,0,01/05/2009,30/01/2013,0,,10-K,21/06/2013
0000033769,44430,1,|18|,0,,0,,0,01/05/2011,31/01/2014,0,,NT 10-Q,05/12/2013
0000033769,48120,1,|19|26|,0,,0,,1,01/05/2014,25/07/2014,1,03/12/2014,8-K,03/12/2014
0000037472,26762,0,,0,,1,|11|12|20|23|44|,1,01/07/2003,31/03/2008,0,02/09/2008,8-K,02/09/2008
0000037785,42609,1,|6|,0,,0,,1,01/01/2004,31/12/2006,0,,10-K,25/02/2008
0000040888,43357,1,|13|37|,0,,0,,1,01/12/2004,31/05/2005,0,,10-K,13/02/2006
0000040888,47433,1,|4|11|19|44|,0,,0,,1,01/12/2012,30/11/2013,0,,10-Q,10/10/2014
0000040987,41387,1,|12|20|,0,,0,,1,01/01/2008,31/12/2011,0,,10-K,26/02/2013
0000041133,6418,1,|13|24|37|43|,0,,0,,0,01/08/2005,31/10/2005,0,23/02/2006,8-K,23/02/2006
0000041133,9775,1,|12|29|69|,0,,0,,1,01/05/2001,30/04/2005,0,13/07/2006,8-K,22/06/2006
0000041719,10865,1,|19|,0,,0,,1,01/01/2006,30/06/2006,0,,10-Q/A,23/08/2006
0000041719,37022,1,|11|19|36|44|,0,,0,,1,01/01/2010,30/09/2010,0,,10-Q,09/11/2011
0000043920,37189,1,|24|43|,0,,0,,1,01/11/2008,31/07/2011,0,,10-K,16/12/2011
0000043920,40798,1,|12|18|,0,,0,,1,01/11/2009,30/04/2012,0,,10-Q,07/09/2012
0000043920,43584,1,|11|12|44|,0,,0,,1,01/11/2010,30/04/2013,0,,Press Release,04/09/2013
0000047111,41096,1,|12|19|,0,,0,,0,01/01/2007,31/12/2011,0,,10-K,22/02/2013
0000048287,45950,1,|12|19|36|,0,,0,,1,01/01/2013,29/06/2013,0,,10-Q,29/04/2014
0000048898,34459,1,|18|,0,,0,,1,01/01/2009,31/12/2009,0,,10-Q,22/10/2010
0000049534,7065,1,|19|,0,,0,,1,01/09/2004,30/11/2004,0,15/03/2006,8-K,15/03/2006
0000049534,25790,1,|14|,0,,1,|18|,1,01/03/2007,29/02/2008,0,,10-K/A,16/05/2008
0000049534,29332,1,|14|19|,0,,0,,1,01/03/2007,30/11/2008,0,,10-K,29/05/2009
0000049534,35540,1,|6|,1,|8|,0,,1,01/03/2006,30/11/2010,1,09/06/2011,8-K,09/06/2011
0000049728,42066,1,|10|11|20|44|45|,0,,0,,1,01/10/2011,31/12/2012,0,01/05/2013,8-K,01/05/2013
0000050493,36255,1,|12|,0,,0,,1,01/10/2009,30/09/2010,0,,10-Q,09/08/2011
0000051253,44474,1,|14|19|,0,,0,,1,01/01/2011,31/12/2011,0,,10-K,26/02/2013
0000051644,7372,1,|3|6|46|,0,,0,,1,01/01/2005,30/09/2005,1,23/03/2006,NT 10-K,16/03/2006
0000052827,47679,1,|1|20|,0,,0,,1,01/01/2014,30/06/2014,0,10/11/2014,8-K,10/11/2014
0000052988,37139,1,|19|,0,,0,,1,01/10/2009,30/09/2010,0,,10-K,21/11/2011
0000054381,18506,1,|36|,0,,0,,1,04/04/2004,30/03/2007,1,19/06/2007,8-K,19/06/2007
0000054480,7131,1,|18|,0,,0,,1,01/01/2004,31/12/2004,0,17/03/2006,8-K,17/03/2006
0000054480,35410,1,|19|,0,,0,,1,01/01/2007,30/06/2009,0,,10-Q,29/10/2009
0000056873,6801,1,|18|,0,,0,,0,01/02/2002,30/11/2005,0,06/03/2006,8-K,06/03/2006
0000056978,51948,1,|19|,0,,0,,1,01/10/2005,01/07/2006,0,,10-Q,09/08/2006
0000057131,33094,1,|1|11|21|42|,0,,0,,1,01/05/2005,24/04/2009,0,,10-Q,16/02/2010
0000057725,21427,1,|17|20|,0,,0,,1,01/07/2006,31/03/2007,0,25/09/2007,NT 10-K,13/09/2007
0000057725,22133,1,|14|17|,0,,1,|20|,1,01/07/2006,31/03/2007,0,09/10/2007,8-K/A,09/10/2007
0000058592,34991,1,|6|7|,0,,0,,1,01/01/2007,31/12/2008,0,,10-K,16/03/2010
0000059440,13564,1,|1|4|,0,,0,,0,01/01/2004,30/06/2006,0,13/11/2006,Press Release,09/11/2006
0000059440,46144,1,|6|11|20|44|,0,,0,,1,01/01/2013,31/03/2013,0,,10-Q,12/05/2014
0000059478,27181,1,|12|18|,0,,0,,1,01/01/2003,31/03/2008,0,,10-K/A,21/10/2008
0000060519,32726,1,|13|37|,0,,0,,0,01/01/2007,31/12/2009,0,,10-Q,30/07/2010
0000060667,11577,1,|14|19|20|29|,0,,0,,1,01/02/2003,31/01/2006,0,,10-Q,14/06/2006
0000060751,22594,1,|11|12|44|69|,0,,0,,1,01/01/2002,30/06/2007,0,26/10/2007,8-K,26/10/2007
0000060876,16461,1,|8|,0,,0,,1,01/07/2006,30/09/2006,0,02/04/2007,10-K,30/03/2007
0000060977,34500,1,|1|7|12|18|20|,0,,0,,1,01/01/2008,30/06/2010,0,,Press Release,05/11/2010
0000060977,37085,1,|18|,0,,0,,1,01/01/2003,30/06/2011,0,,10-Q,08/11/2011
0000061004,25384,1,|3|11|13|37|44|,0,,0,,1,01/01/2004,31/12/2007,0,16/04/2008,Press Release,16/04/2008
0000061478,16142,1,|3|10|11|13|,0,,0,,1,01/05/2006,31/07/2006,0,05/03/2007,8-K,05/03/2007
0000061986,35150,1,|18|,0,,0,,0,01/01/2008,31/12/2008,0,,10-Q,09/11/2009
0000061986,35149,1,|1|7|,0,,0,,0,01/01/2009,30/09/2009,0,,10-K,01/03/2010
0000061986,39002,1,|11|18|24|43|44|46|,0,,0,,0,01/01/2008,30/09/2011,0,,Press Release,31/01/2012
0000061986,42518,1,|3|10|18|45|46|,0,,0,,0,01/01/2008,30/06/2012,0,,10-Q,05/11/2012
0000062234,36263,1,|14|,0,,0,,1,01/06/2010,27/05/2011,0,,10-K,09/08/2011
0000062996,43633,1,|14|19|29|,0,,0,,1,01/01/2011,30/06/2013,0,,10-Q,29/10/2013
0000062996,45989,1,|10|45|,0,,0,,0,01/01/2013,30/09/2013,0,,10-Q,30/04/2014
0000064040,41578,0,,0,,1,|36|,1,01/01/2008,31/12/2009,0,,10-K/A,20/03/2013
0000065201,13831,1,|7|36|,0,,0,,1,01/02/2003,31/07/2006,0,20/11/2006,8-K,20/11/2006
0000065201,24220,0,,1,|6|,0,,1,01/02/2006,31/10/2007,0,23/01/2008,8-K,23/01/2008
0000065270,29349,1,|22|24|43|,0,,0,,1,01/06/2008,01/11/2008,0,29/06/2009,8-K,29/06/2009
0000066382,33251,1,|5|36|,0,,0,,1,01/06/2009,29/05/2010,0,,10-K/A,16/09/2010
0000066740,36923,1,|19|,0,,0,,1,01/01/2010,31/03/2011,0,,10-Q,04/08/2011
0000066740,45144,1,|8|35|,0,,0,,0,01/01/2011,31/12/2013,0,,10-K,13/02/2014
0000067347,29338,0,,0,,1,|19|,0,01/04/2007,31/03/2008,0,,10-Q,11/08/2008
0000067347,49291,1,|69|,0,,0,,0,01/04/2010,30/06/2010,0,,10-Q,05/11/2010
0000067347,36209,1,|6|7|20|,0,,0,,1,01/04/2008,31/03/2010,0,,10-K,14/06/2011
0000067347,38853,1,|12|,0,,0,,1,01/04/2007,31/12/2011,0,,Press Release,01/06/2012
0000067472,15657,1,|7|17|32|48|,0,,0,,1,01/07/2001,30/09/2006,1,30/01/2007,Press Release,02/08/2006
0000067472,32752,1,|18|,1,|12|,0,,1,01/07/2005,31/03/2010,0,03/08/2010,8-K,03/08/2010
0000067472,40014,1,|18|,0,,0,,1,01/07/2011,30/06/2012,0,,10-Q,25/10/2012
0000068270,41951,1,|7|12|,0,,0,,1,01/06/2010,05/06/2012,0,,10-Q,11/10/2012
0000068709,43341,1,|19|,0,,0,,1,01/11/2003,31/12/2005,0,,10-Q,09/05/2006
0000070145,44419,1,|19|,0,,0,,1,01/10/2010,30/09/2012,0,,10-Q,08/02/2013
0000070487,10785,1,|18|,0,,0,,1,01/10/2005,30/06/2006,0,,10-Q/A,16/08/2006
0000070530,26410,1,|18|69|,0,,0,,0,01/01/2005,31/05/2007,0,,10-K,23/07/2008
0000070793,45067,1,|4|10|11|19|24|43|44|45|,0,,0,,1,01/10/2012,30/09/2013,0,,10-Q,06/02/2014
0000070793,46274,1,|8|,0,,0,,1,01/01/2013,31/03/2013,0,,10-Q,13/05/2014
0000070866,44795,1,|13|,0,,0,,1,01/01/2011,31/12/2011,0,,10-Q,27/04/2012
0000070866,44543,1,|69|,0,,0,,1,01/01/2012,30/06/2013,0,,10-Q,05/11/2013
0000071691,15663,1,|7|12|69|,0,,0,,1,01/01/2002,31/12/2006,0,31/01/2007,8-K,31/01/2007
0000071691,44149,1,|69|,0,,0,,0,01/01/2010,31/03/2013,0,,8-K,01/08/2013
0000071829,9669,1,|3|4|11|44|48|,0,,0,,1,01/01/2001,31/12/2005,0,30/06/2006,8-K,17/04/2006
0000072331,48191,1,|18|,0,,0,,1,01/11/2012,31/10/2013,0,,10-K,15/12/2014
0000072333,42565,1,|19|,0,,0,,0,01/02/2007,31/01/2008,0,,10-Q,10/06/2008
0000072903,23612,1,|10|,0,,0,,1,01/04/2007,30/09/2007,0,,8-K,20/06/2007
0000073309,13748,1,|14|29|,0,,0,,1,01/01/2005,31/12/2005,0,,10-K/A,20/11/2006
0000075208,39946,1,|4|8|11|18|28|44|,0,,0,,1,01/01/2008,30/06/2012,1,22/10/2012,8-K,03/10/2012
0000075252,50038,1,|12|14|19|,0,,0,,1,01/01/2006,30/06/2008,0,,10-Q,06/11/2008
0000075252,45211,1,|6|20|,0,,0,,1,01/01/2012,30/09/2013,0,,10-K,25/02/2014
0000075340,34676,1,|10|,0,,0,,0,01/04/2010,30/09/2010,0,29/03/2011,Press Release,29/03/2011
0000075340,48181,1,|5|,0,,0,,1,01/04/2014,30/09/2014,0,,10-Q/A,17/12/2014
0000075677,34418,1,|12|35|,0,,0,,1,01/01/2007,31/12/2009,0,,10-K,22/02/2011
0000075829,19991,1,|6|11|18|44|,0,,0,,1,01/05/1998,30/04/2007,0,02/08/2007,8-K,19/07/2007
0000076321,19049,1,|7|9|,0,,0,,1,01/01/2006,31/03/2006,0,,10-Q/A,27/06/2007
0000076334,40079,1,|19|,0,,0,,1,01/07/2011,31/12/2011,0,,10-Q,09/05/2012
0000077360,52874,1,|19|,0,,0,,1,01/01/2005,29/09/2007,0,,10-K,26/02/2008
0000077449,21179,1,|11|19|24|43|44|,0,,0,,1,01/02/2003,05/05/2007,0,19/09/2007,10-Q,19/09/2007
0000077543,39383,1,|19|,0,,0,,1,01/01/2010,31/03/2012,0,,10-Q,07/08/2012
0000077597,11118,1,|3|,0,,0,,0,01/11/2001,31/10/2005,1,06/09/2006,8-K,06/09/2006
0000077877,7847,1,|6|7|11|24|37|43|,0,,0,,1,01/01/2001,30/09/2005,0,03/04/2006,Press Release,31/03/2006
0000078460,5310,1,|7|14|19|,0,,0,,1,01/11/2002,31/07/2005,0,17/01/2006,8-K,17/01/2006
0000078749,38847,1,|6|,0,,0,,1,01/04/2011,30/09/2011,0,,10-Q,09/02/2012
0000078749,46833,1,|7|20|,0,,0,,1,01/04/2012,31/03/2013,0,,10-Q,02/08/2013
0000078814,44352,1,|6|7|20|,0,,0,,1,01/01/2011,31/12/2012,0,,10-Q,08/11/2013
0000078814,46857,1,|18|,0,,0,,0,01/01/2013,31/12/2013,0,,10-Q,07/08/2014
0000079958,27340,1,|19|24|43|,0,,0,,1,01/04/2005,30/09/2007,0,,10-Q,08/02/2008
0000080420,16815,1,|11|12|20|,0,,0,,1,01/05/2005,31/12/2006,0,16/04/2007,Press Release,13/04/2007
0000080420,36543,0,,0,,1,|12|20|,1,01/10/2010,30/06/2011,0,08/11/2011,8-K,08/11/2011
0000082628,16834,0,,0,,1,|7|,1,01/10/2005,31/12/2006,0,16/04/2007,8-K,16/04/2007
0000082628,20052,1,|10|18|,0,,0,,1,01/07/2006,31/03/2007,0,08/08/2007,8-K,08/08/2007
0000082628,25505,1,|12|14|29|,0,,0,,0,01/07/2001,30/09/2007,0,23/04/2008,NT 10-Q,11/02/2008
0000082628,39830,1,|20|29|,0,,0,,1,01/07/2010,03/07/2011,0,,10-K,13/09/2012
0000082811,38160,1,|36|,0,,0,,1,01/01/2009,31/12/2010,0,,10-K,29/02/2012
0000084748,6729,1,|18|,0,,0,,0,01/01/2002,30/09/2005,0,06/03/2006,8-K,06/03/2006
0000084748,7677,1,|6|20|,0,,0,,1,01/01/2002,30/09/2005,0,31/03/2006,NT 10-K,17/03/2006
0000085408,46141,1,|4|11|18|19|44|,0,,0,,1,01/01/2013,31/12/2013,0,,10-Q,12/05/2014
0000085535,27251,1,|6|,0,,0,,1,01/07/2007,30/06/2008,0,04/11/2008,Press Release,04/11/2008
0000086115,50627,1,|6|,0,,0,,1,01/01/2006,30/09/2007,0,,10-K,31/03/2008
0000086115,28713,1,|7|20|,0,,0,,1,01/01/2006,30/09/2008,0,,10-K,19/03/2009
0000086115,29986,1,|6|,0,,0,,0,01/01/2009,31/03/2009,0,,10-Q,07/08/2009
0000086144,41216,1,|12|,0,,0,,0,01/01/2008,29/12/2011,0,,Press Release,21/02/2013
0000086144,43554,1,|12|,0,,0,,1,01/01/2012,28/12/2012,0,,8-K,10/10/2013
0000087565,49836,1,|7|,0,,0,,1,01/09/2004,31/08/2008,0,,10-K,26/10/2009
