cik,year,Pos_MDA,Pos_Q1,Pos_Q2,Pos_Q3,Pos_Q4,Neg_MDA,Neg_Q1,Neg_Q2,Neg_Q3,Neg_Q4,Pol_MDA,Pol_Q1,Pol_Q2,Pol_Q3,Pol_Q4,Sub_MDA,Sub_Q1,Sub_Q2,Sub_Q3,Sub_Q4
3673.0,2008,192,73,76,65,89,277,103,135,95,93,-0.18123667338755506,-0.17045454448605374,-0.2796208517553514,-0.18749999882812501,-0.021978021857263618,0.046583234004113704,0.07712532862527374,0.08810020873148217,0.0698689956026773,0.0739236392876021
3673.0,2009,154,49,93,109,84,250,107,113,126,100,-0.23762376178806,-0.37179486941157136,-0.09708737816947875,-0.0723404252240833,-0.08695652126654065,0.05086239455484547,0.074038917857599,0.09102960667652249,0.07529637934146223,0.06792174231527437
4187.0,2011,58,56,27,45,15,164,33,45,69,43,-0.47747747532667806,0.2584269633884611,-0.24999999652777782,-0.21052631394275165,-0.48275861236623085,0.0453802125827105,0.0658771280045321,0.08888888877914952,0.08207343406618182,0.0776439088652692
4447.0,2008,90,14,18,50,111,201,26,19,54,91,-0.38144329765827045,-0.2999999925000002,-0.027027026296566857,-0.03846153809171598,0.099009900499951,0.05395883551753034,0.053835800735079674,0.039529914487681714,0.082213438670187,0.09820126392892502
4447.0,2010,126,36,37,44,72,409,36,49,29,46,-0.5289719616280898,0.0,-0.1395348820984316,0.20547944924000755,0.22033898118356796,0.06630313544846905,0.05282465146527905,0.05544809796553959,0.05240488151299003,0.05700483089033583
4447.0,2011,113,32,57,62,91,421,31,50,68,78,-0.576779025137118,0.015873015621063243,0.06542056013625645,-0.046153845798816574,0.07692307646791079,0.06696764483735043,0.04787234038915475,0.06407185624905877,0.06292352368687149,0.06817265023470244
4447.0,2012,110,32,76,56,75,414,50,46,59,44,-0.5801526706485636,-0.21951219244497328,0.24590163732867512,-0.026086956294896033,0.26050419949156134,0.06696485622147413,0.05495978548595188,0.04991816691901876,0.059678256326062135,0.05688336517357392
4447.0,2013,93,70,64,69,78,463,53,59,54,66,-0.6654676247023964,0.13821138099015137,0.04065040617357393,0.1219512185207218,0.08333333275462963,0.06618259730196611,0.051399916401420845,0.05288048149059309,0.057746478846128414,0.05618415916652979
4904.0,2013,366,114,141,127,158,587,81,103,91,89,-0.2318992652341036,0.16923076836291914,0.15573770427976352,0.1651376139213871,0.2793522255896671,0.0651267682590633,0.06971755449777707,0.08207198113620183,0.08038348079631878,0.07957474224240504
5981.0,2008,90,82,107,102,100,93,37,47,68,55,-0.016393442533369166,0.37815125732646004,0.38961038708045204,0.19999999882352942,0.2903225787721124,0.06503198291932055,0.09627831707420847,0.06598114821508949,0.07413868291577032,0.07761642459808892
5981.0,2009,86,106,103,112,124,137,67,74,62,105,-0.2286995505439482,0.22543352470847675,0.1638418069839446,0.2873563201876074,0.08296943195209855,0.06395182103127278,0.08822029572247816,0.0960912051595596,0.08770161285902137,0.09521829517870342
5981.0,2011,106,112,134,84,127,156,49,56,35,50,-0.19083969392809277,0.3913043453956252,0.41052631362880887,0.41176470242214536,0.4350282461297839,0.06481939632240985,0.08090452257240978,0.09183180275890199,0.09253499215199455,0.0913784201903054
5981.0,2012,105,90,102,94,107,165,31,44,34,49,-0.22222222139917697,0.4876033017553446,0.397260271251642,0.46874999633789066,0.37179486941157136,0.06390532542866145,0.07667934088930332,0.089570552092288,0.08845888038116179,0.07835258660052608
5981.0,2013,82,76,91,90,103,149,37,46,43,71,-0.29004328878769137,0.34513274030855984,0.3284671508871011,0.3533834559895981,0.1839080449200687,0.060455378157431204,0.0628126736727,0.06775469828498779,0.08307307927353336,0.07891156459006278
6201.0,2008,340,79,55,78,80,792,115,75,100,122,-0.39929328586634866,-0.18556700935274736,-0.15384615266272192,-0.12359550492362076,-0.20792079104989708,0.08746040330004941,0.08220338979567654,0.06403940883544856,0.07603588206918588,0.0933888117922382
6201.0,2009,311,87,79,102,115,751,127,114,98,97,-0.4143126173123233,-0.18691588697702857,-0.18134714931944482,0.0199999999,0.0849056599768601,0.09452603470453706,0.09661399544170926,0.08593054314963022,0.0980872976468429,0.09133993964181822
6201.0,2010,331,107,160,138,157,753,104,78,60,89,-0.38929889262979805,0.014218009411289055,0.3445378136784126,0.39393939194980104,0.2764227631039725,0.08943156504501018,0.10645812305425927,0.09592906082388994,0.08757187081487312,0.09947432264477384
6292.0,2011,78,32,34,37,50,147,20,10,8,13,-0.30666666530370373,0.23076922633136104,0.5454545330578515,0.6444444301234571,0.58730157797934,0.07364975447671039,0.08360128603922623,0.1016166279408392,0.10948905082849379,0.11413043457585066
6292.0,2012,67,29,42,49,46,122,14,12,70,34,-0.29100528946558046,0.3488372011898325,0.55555554526749,-0.176470586752348,0.14999999812500003,0.0717812381041469,0.1018957343556973,0.0702210662285812,0.06636921357146167,0.07944389267185313
