cik,fraud,res,year
1368308,0,1,2007.0
1371781,0,1,2011.0
1372020,0,1,2012.0
1373671,0,1,2006.0
1373988,0,1,2010.0
1376139,0,1,2007.0
1376812,0,1,2010.0
1377630,0,1,2008.0
1377720,0,1,2009.0
1379895,0,1,2008.0
1384072,0,1,2007.0
1384072,0,1,2008.0
1391127,0,1,2012.0
1391984,0,1,2006.0
1392091,0,1,2009.0
1394159,0,1,2006.0
1394220,0,1,2007.0
1394220,0,1,2009.0
1401688,0,1,2008.0
1408356,0,1,2011.0
1409375,0,1,2009.0
1412067,0,1,2008.0
1412067,0,1,2011.0
1426945,1,0,2012.0
1428156,0,1,2009.0
1432150,0,1,2011.0
1434588,0,1,2010.0
1434621,0,1,2010.0
1434842,0,1,2008.0
1439199,0,1,2012.0
1446847,0,1,2010.0
1449732,0,1,2011.0
1449732,0,1,2014.0
1469510,0,1,2011.0
1504747,0,1,2011.0
1515156,0,1,2011.0
1518222,0,1,2013.0
1526796,0,1,2011.0
1528930,0,1,2012.0
1530950,0,1,2010.0
1552800,0,1,2012.0
1561660,0,1,2014.0
1576169,0,1,2012.0
1576263,0,1,2013.0
