,cik,year,Topic_Q1,Topic_Q2,Topic_Q3,Topic_Q4,Topic_MDA
5483,1410838.0,2013,17,1,-1,1,0
5484,1411158.0,2013,0,0,0,0,1
5485,1411207.0,2012,-1,18,-1,-1,12
5486,1411207.0,2013,-1,18,-1,-1,12
5487,1412067.0,2011,0,0,0,0,1
5488,1412067.0,2012,0,0,0,0,1
5489,1412067.0,2013,0,0,0,0,1
5490,1412347.0,2011,18,11,11,7,5
5491,1412347.0,2012,18,11,11,7,-1
5492,1412347.0,2013,18,11,11,7,5
5493,1413898.0,2012,7,-1,6,-1,22
5494,1413898.0,2013,7,23,-1,-1,22
5495,1414475.0,2013,17,1,22,-1,0
5496,1415020.0,2011,-1,26,6,-1,5
5497,1415020.0,2012,25,8,11,7,5
5498,1415020.0,2013,25,26,11,7,5
5499,1415301.0,2013,12,16,10,10,14
5500,1415336.0,2013,0,0,-1,-1,-1
5501,1415404.0,2011,-1,2,36,2,4
5502,1415404.0,2012,1,2,-1,2,4
5503,1418135.0,2008,-1,-1,2,3,15
5504,1418135.0,2009,-1,19,2,3,15
5505,1418135.0,2010,-1,-1,2,3,15
5506,1418135.0,2011,-1,-1,2,3,15
5507,1418135.0,2012,-1,19,2,-1,15
5508,1418135.0,2013,11,-1,2,11,15
5509,1418819.0,2011,-1,2,-1,-1,4
5510,1418819.0,2012,1,2,-1,-1,4
5511,1418819.0,2013,-1,2,-1,5,4
5512,1418862.0,2012,-1,1,3,21,6
5513,1419242.0,2010,-1,4,4,-1,8
5514,1419242.0,2012,-1,4,-1,-1,8
5515,1419242.0,2013,-1,4,-1,-1,8
5516,1419428.0,2010,14,1,-1,1,0
5517,1419428.0,2012,14,1,8,1,0
5518,1419581.0,2009,4,7,-1,-1,12
5519,1419581.0,2010,10,-1,5,12,12
5520,1419581.0,2011,-1,7,5,-1,12
5521,1419581.0,2012,5,7,-1,-1,12
5522,1419581.0,2013,4,7,-1,5,12
5523,1420302.0,2010,-1,2,-1,-1,4
5524,1420302.0,2011,0,14,-1,6,4
5525,1420302.0,2012,-1,14,-1,-1,4
5526,1420302.0,2013,-1,2,-1,2,4
5527,1420800.0,2009,22,13,-1,25,5
5528,1420800.0,2010,20,-1,32,25,5
5529,1420800.0,2011,20,-1,-1,25,6
5530,1420800.0,2012,-1,28,32,25,10
5531,1420800.0,2013,-1,-1,15,1,10
5532,1420850.0,2012,2,-1,9,2,-1
5533,1421182.0,2009,22,8,-1,23,6
5534,1421182.0,2013,-1,8,-1,23,6
5535,1421461.0,2009,16,7,-1,-1,5
5536,1421461.0,2011,16,-1,14,-1,5
5537,1421461.0,2012,16,37,14,-1,5
5538,1421461.0,2013,16,8,15,-1,5
5539,1421517.0,2011,-1,-1,-1,-1,10
5540,1421517.0,2012,22,-1,-1,4,-1
5541,1421517.0,2013,-1,-1,32,8,-1
5542,1422105.0,2011,8,-1,-1,-1,5
5543,1422105.0,2012,1,31,-1,-1,5
5544,1422105.0,2013,-1,-1,6,-1,5
5545,1423542.0,2012,-1,-1,2,3,-1
5546,1423542.0,2013,-1,-1,2,11,-1
5547,1424847.0,2010,3,-1,2,0,35
5548,1424847.0,2011,-1,6,2,3,35
5549,1424847.0,2012,3,6,2,0,35
5550,1425565.0,2011,-1,-1,-1,14,8
5551,1425565.0,2012,2,4,-1,-1,8
5552,1426945.0,2010,24,-1,5,17,16
5553,1426945.0,2011,24,-1,5,-1,16
5554,1426945.0,2012,24,-1,-1,2,16
5555,1426945.0,2013,-1,-1,5,17,16
5556,1432150.0,2011,1,2,-1,2,3
5557,1432150.0,2012,1,-1,1,-1,3
5558,1432150.0,2013,1,-1,1,2,3
5559,1433660.0,2010,8,13,6,-1,6
5560,1433660.0,2011,16,13,12,-1,6
5561,1433660.0,2012,4,-1,-1,-1,6
5562,1433660.0,2013,10,-1,-1,-1,6
5563,1434588.0,2010,0,22,20,16,25
5564,1434588.0,2011,21,22,20,16,25
5565,1434588.0,2012,21,22,20,16,25
5566,1434588.0,2013,21,22,20,16,25
5567,1434620.0,2010,-1,20,37,-1,21
5568,1434620.0,2011,-1,-1,-1,-1,21
5569,1434620.0,2012,-1,20,37,-1,21
5570,1434620.0,2013,-1,20,18,15,21
5571,1434729.0,2010,3,-1,2,3,7
5572,1434729.0,2012,3,-1,2,3,7
5573,1434729.0,2013,-1,-1,2,3,7
5574,1434842.0,2011,-1,-1,-1,1,0
5575,1434842.0,2012,14,-1,-1,-1,0
5576,1434842.0,2013,-1,1,-1,1,0
5577,1437106.0,2012,-1,-1,1,13,4
5578,1437106.0,2013,2,-1,6,-1,4
5579,1437226.0,2011,2,24,-1,-1,-1
5580,1437226.0,2012,0,10,-1,6,23
5581,1438231.0,2010,37,2,30,13,2
5582,1438231.0,2011,37,-1,9,24,2
5583,1438231.0,2013,-1,-1,-1,-1,2
5584,1439095.0,2013,-1,1,-1,1,10
5585,1439404.0,2012,7,-1,-1,-1,-1
5586,1439404.0,2013,7,-1,-1,3,2
5587,1440024.0,2011,-1,-1,5,17,16
5588,1440024.0,2012,26,27,5,17,16
5589,1440024.0,2013,-1,18,5,17,16
5590,1441236.0,2011,13,8,-1,23,6
5591,1441236.0,2012,13,8,-1,23,6
5592,1441236.0,2013,13,-1,19,-1,6
5593,1441849.0,2010,18,11,11,7,5
5594,1441849.0,2011,-1,-1,11,7,5
5595,1441849.0,2012,-1,11,11,7,5
5596,1442145.0,2010,-1,-1,-1,-1,2
5597,1442145.0,2011,0,-1,13,-1,2
5598,1442145.0,2012,-1,12,-1,0,2
5599,1442145.0,2013,2,0,-1,0,2
5600,1443669.0,2013,-1,-1,-1,6,29
5601,1443799.0,2008,27,27,23,18,17
5602,1443799.0,2009,27,27,23,18,17
5603,1444598.0,2010,0,0,0,0,-1
5604,1446847.0,2011,0,0,0,0,-1
5605,1446847.0,2012,0,0,0,0,-1
5606,1446847.0,2013,0,0,0,0,1
5607,1447028.0,2013,0,0,0,0,1
5608,1449732.0,2010,-1,10,4,1,-1
