,cik,year
1205,708850.0,2010
1210,946486.0,2011
1214,1080667.0,2009
1215,1080667.0,2010
1217,1049210.0,2009
1218,1049210.0,2010
1219,1049210.0,2011
1220,1049210.0,2012
1222,945717.0,2008
1223,945717.0,2009
1224,945717.0,2010
1225,945717.0,2011
1226,945717.0,2012
1229,935703.0,2009
1230,935703.0,2010
1231,935703.0,2011
1232,935703.0,2012
1233,935703.0,2013
1235,1086467.0,2009
1236,1086467.0,2010
1237,915778.0,2008
1238,915778.0,2009
1239,915778.0,2010
1240,915778.0,2011
1241,915778.0,2012
1242,915778.0,2013
1243,714603.0,2008
1245,714603.0,2010
1246,714603.0,2011
1247,714603.0,2012
1248,714603.0,2013
1251,1115222.0,2009
1252,1115222.0,2010
1253,1115222.0,2011
1254,1115222.0,2012
1256,1082038.0,2008
1257,1082038.0,2009
1259,1082038.0,2011
1260,1082038.0,2012
1261,1082038.0,2013
1266,907562.0,2012
1267,907562.0,2013
1269,1015780.0,2009
1270,1015780.0,2010
1271,1015780.0,2011
1272,1015780.0,2012
1273,1015780.0,2013
1275,1102541.0,2009
1276,1102541.0,2010
1277,1102541.0,2011
1278,1102541.0,2012
1279,1102541.0,2013
1281,1208208.0,2010
1282,1208208.0,2011
1283,1208208.0,2012
1284,1208208.0,2013
1285,1067056.0,2008
1286,1067056.0,2009
1287,1067056.0,2010
1288,1067056.0,2011
1289,1067056.0,2012
1290,1067056.0,2013
1292,1065088.0,2009
1293,1065088.0,2010
1294,1065088.0,2011
1295,1065088.0,2012
1296,1065088.0,2013
1298,31347.0,2009
1299,31347.0,2010
1300,31347.0,2011
1301,31347.0,2012
1302,31347.0,2013
1310,880059.0,2011
1311,880059.0,2012
1312,880059.0,2013
1315,1066194.0,2011
1316,1066194.0,2012
1317,1066194.0,2013
1318,1333493.0,2008
1319,1333493.0,2009
1320,1333493.0,2010
1321,1333493.0,2011
1322,1333493.0,2012
1323,1333493.0,2013
1324,712515.0,2008
1326,712515.0,2010
1327,712515.0,2011
1328,712515.0,2012
1329,712515.0,2013
1331,867374.0,2009
1332,867374.0,2010
1333,867374.0,2011
1334,867374.0,2012
1335,867374.0,2013
1336,1122388.0,2012
1337,1122388.0,2013
1338,105634.0,2008
1339,105634.0,2009
1340,105634.0,2010
1341,105634.0,2011
1342,105634.0,2012
1343,105634.0,2013
1347,808326.0,2011
1348,808326.0,2012
1349,808326.0,2013
1350,783005.0,2008
1354,350917.0,2009
1355,350917.0,2010
1356,350917.0,2011
1357,350917.0,2012
1358,350917.0,2013
1362,850460.0,2009
1363,850460.0,2010
1364,850460.0,2011
1365,850460.0,2012
1366,850460.0,2013
1367,1100962.0,2008
1368,1100962.0,2009
1369,1100962.0,2010
1370,1100962.0,2011
1371,1100962.0,2012
1372,1100962.0,2013
1377,1096738.0,2011
1380,1101239.0,2009
1381,1101239.0,2010
1382,1101239.0,2011
1383,1101239.0,2012
1384,1101239.0,2013
1385,906107.0,2008
1387,906107.0,2010
1388,906107.0,2011
1389,906107.0,2012
1390,906107.0,2013
1392,1490165.0,2013
1394,896156.0,2009
1395,896156.0,2010
1396,896156.0,2011
1397,896156.0,2012
1398,896156.0,2013
1400,1029199.0,2009
1401,1029199.0,2010
1402,1029199.0,2011
1403,1029199.0,2012
1404,1029199.0,2013
1406,947397.0,2010
1409,1052054.0,2011
1410,1052054.0,2012
1411,1052054.0,2013
1415,1124140.0,2010
1416,1124140.0,2011
1417,1124140.0,2012
1418,1124140.0,2013
1420,939767.0,2009
1421,939767.0,2010
1422,939767.0,2011
1423,939767.0,2012
1424,939767.0,2013
1428,813781.0,2011
1429,813781.0,2012
1432,1078271.0,2009
1433,1078271.0,2010
1434,1078271.0,2011
1435,1078271.0,2012
1436,1078271.0,2013
1439,1036960.0,2010
1440,1036960.0,2011
1441,1036960.0,2012
1442,1036960.0,2013
1445,883980.0,2011
1446,883980.0,2012
1447,883980.0,2013
1448,852772.0,2008
1451,852772.0,2011
1452,852772.0,2012
1453,852772.0,2013
1455,1691929.0,2009
1457,1691929.0,2011
1458,1691929.0,2012
1459,1691929.0,2013
1460,37785.0,2008
1461,37785.0,2009
1463,37785.0,2011
1465,37785.0,2013
1466,1039399.0,2008
1467,1039399.0,2009
1469,1039399.0,2011
1470,1039399.0,2012
1471,1039399.0,2013
1473,1351051.0,2008
1474,1351051.0,2009
1475,1351051.0,2010
1476,1351051.0,2011
1477,1351051.0,2012
1478,1351051.0,2013
1479,38777.0,2008
1482,38777.0,2011
1483,38777.0,2012
1484,38777.0,2013
1486,95052.0,2009
1487,95052.0,2010
1488,95052.0,2011
1489,95052.0,2012
1490,95052.0,2013
1491,887936.0,2008
1492,887936.0,2009
1493,887936.0,2010
1494,887936.0,2011
1495,887936.0,2012
1496,887936.0,2013
1497,1175454.0,2011
1498,1175454.0,2012
1499,1175454.0,2013
1504,50957.0,2008
1507,50957.0,2011
1508,50957.0,2012
1510,39648.0,2008
1511,39648.0,2009
1512,39648.0,2010
1513,39648.0,2011
1514,39648.0,2012
1515,39648.0,2013
1522,934473.0,2011
1523,934473.0,2012
1527,314606.0,2009
1528,314606.0,2010
1529,314606.0,2011
1533,719274.0,2012
1534,719274.0,2013
1535,882095.0,2008
1536,882095.0,2009
1537,882095.0,2010
1538,882095.0,2011
1539,882095.0,2012
1540,882095.0,2013
1545,1288776.0,2008
1547,1288776.0,2010
1548,1288776.0,2011
1549,1288776.0,2012
1550,1288776.0,2013
1551,42888.0,2008
1552,42888.0,2009
1553,42888.0,2010
1554,42888.0,2011
1555,42888.0,2012
1556,42888.0,2013
1558,1372020.0,2009
1559,1372020.0,2010
1560,1372020.0,2011
1561,1372020.0,2012
1562,1372020.0,2013
1566,786110.0,2010
1567,786110.0,2011
1568,786110.0,2012
1569,786110.0,2013
1572,786947.0,2013
1574,722723.0,2009
1575,722723.0,2010
1576,722723.0,2011
1577,722723.0,2012
1578,722723.0,2013
1579,800459.0,2008
1581,800459.0,2010
1583,800459.0,2012
1584,800459.0,2013
1585,851310.0,2008
1587,851310.0,2010
1588,851310.0,2011
1589,851310.0,2012
1590,851310.0,2013
1593,909698.0,2009
1594,909698.0,2010
1595,909698.0,2011
1596,909698.0,2012
1597,909698.0,2013
1598,792985.0,2008
1599,792985.0,2009
1600,792985.0,2010
1601,792985.0,2011
1602,792985.0,2012
1604,1196501.0,2008
1605,1196501.0,2009
1606,1196501.0,2010
1607,1196501.0,2011
1608,1196501.0,2012
1609,1196501.0,2013
1612,1326583.0,2010
1613,1326583.0,2011
1614,1326583.0,2012
1615,1326583.0,2013
1618,785161.0,2010
1619,785161.0,2011
1620,785161.0,2012
1621,785161.0,2013
1623,66382.0,2009
1624,66382.0,2010
1625,66382.0,2011
1626,66382.0,2012
1627,66382.0,2013
1629,1038133.0,2011
1630,1038133.0,2012
1631,1038133.0,2013
1633,1017480.0,2009
1634,1017480.0,2010
1635,1017480.0,2011
1636,1017480.0,2012
1637,1017480.0,2013
1640,1085770.0,2008
1641,1085770.0,2009
1642,1085770.0,2010
1643,1085770.0,2011
1644,1085770.0,2012
1645,1085770.0,2013
1646,314733.0,2008
1647,314733.0,2009
1648,314733.0,2010
1649,314733.0,2011
1650,314733.0,2012
1651,314733.0,2013
1653,1356949.0,2009
1654,1356949.0,2010
1655,1356949.0,2011
1656,1356949.0,2012
1657,1356949.0,2013
1658,944868.0,2008
1659,944868.0,2009
1660,944868.0,2010
1661,944868.0,2011
1662,944868.0,2012
1663,944868.0,2013
1669,49071.0,2009
1670,49071.0,2010
1671,49071.0,2011
1672,49071.0,2012
1673,49071.0,2013
1678,1342126.0,2008
1680,1342126.0,2010
1681,1342126.0,2011
1682,1342126.0,2012
1687,1362004.0,2009
1688,1362004.0,2010
1689,1362004.0,2011
1690,1362004.0,2012
1691,1362004.0,2013
1692,875045.0,2008
1693,875045.0,2009
1694,875045.0,2010
1695,875045.0,2011
1696,875045.0,2012
1697,875045.0,2013
1698,832101.0,2008
1699,832101.0,2009
1700,832101.0,2010
1701,832101.0,2011
1702,832101.0,2012
1703,832101.0,2013
1706,874716.0,2010
1707,874716.0,2011
1708,874716.0,2012
1709,874716.0,2013
1710,1005731.0,2008
1714,1005731.0,2012
1715,1005731.0,2013
1717,1110803.0,2008
1718,1110803.0,2009
1719,1110803.0,2010
1720,1110803.0,2011
1721,1110803.0,2012
1722,1110803.0,2013
1724,921582.0,2010
1725,921582.0,2011
1726,921582.0,2012
1727,921582.0,2013
1730,855654.0,2010
1731,855654.0,2011
1732,855654.0,2012
1733,855654.0,2013
1735,1080099.0,2008
1737,1080099.0,2010
1738,1080099.0,2011
1739,1080099.0,2012
1740,1080099.0,2013
1741,906709.0,2008
1743,906709.0,2010
1744,906709.0,2011
1746,906709.0,2013
1752,836690.0,2011
1753,836690.0,2012
1754,836690.0,2013
1755,1410471.0,2008
1756,1410471.0,2009
1757,1410471.0,2010
1758,1410471.0,2011
1759,1410471.0,2012
1760,1410471.0,2013
1762,1086795.0,2010
1763,1086795.0,2011
1764,1086795.0,2012
1765,1086795.0,2013
1766,853273.0,2008
1769,1145238.0,2010
1773,1104506.0,2011
1774,1104506.0,2012
1777,1040416.0,2009
1780,917520.0,2009
1781,917520.0,2010
1782,917520.0,2011
1783,917520.0,2012
1784,917520.0,2013
1786,718130.0,2009
1787,718130.0,2010
1789,854701.0,2009
1790,854701.0,2010
1791,854701.0,2011
1792,854701.0,2012
1793,854701.0,2013
1794,1518222.0,2008
1797,1518222.0,2012
1798,1518222.0,2013
1800,1016439.0,2009
1803,1056386.0,2008
