year,cik
2008,3146
2008,727510
2008,33185
2008,33213
2008,1282637
2008,34067
2008,37785
2008,37634
2013,931336
2008,1419581
2008,277509
2008,35214
2008,719164
2008,352825
2008,1130385
2008,354190
2008,39899
2008,318771
2013,1009672
2008,88205
2008,355811
2008,41719
2008,42542
2008,42582
2008,1045309
2013,909494
2008,42888
2008,277135
2008,43196
2008,1030749
2008,45876
2013,1010552
2008,46080
2008,46129
2008,216085
2008,731012
2008,719413
2008,47111
2013,1010612
2008,316206
2008,1130310
2008,48898
2013,1009829
2008,216228
2008,52827
2008,1057877
2008,49938
2008,1096385
2013,723612
2013,887936
2008,353020
2008,50863
2008,320340
2008,50957
2008,51253
2008,1405495
2013,927417
2008,51434
2008,728249
2008,51644
2008,742112
2008,105634
2013,1008654
2008,94610
2008,54381
2008,54441
2008,54476
2008,54480
2008,740694
2013,914475
2008,55135
2008,55785
2008,56047
2013,913165
2008,60714
2008,57528
2008,58492
2008,58592
2008,59478
2008,59527
2008,936468
2008,6814
2013,1402436
2008,60751
2008,60876
2008,60977
2008,61004
2008,67716
2008,717238
2008,61986
2013,1009356
2008,766561
2008,101778
2008,62709
2008,62996
2008,63276
2008,319815
2008,708819
2013,913077
2008,63908
2008,1170650
2008,719152
2008,310158
2013,1012019
2008,66479
2008,66570
2013,895051
2008,316300
2008,66740
2008,66756
2008,68505
2008,717423
2008,69488
2008,70866
2008,704532
2008,70318
2013,1013462
2008,741508
2008,71691
2008,814453
2008,71829
2008,72207
2013,1013606
2008,789933
2008,23426
2008,1111711
2008,72903
2008,1133421
2008,97216
2008,73088
2008,73309
2013,920448
2008,73756
2008,20947
2008,1021635
2008,74303
2008,353230
2008,1039684
2013,1012620
2008,74818
2008,75208
2008,75252
2008,1370946
2008,812074
2008,75340
2008,79879
2013,1014111
2008,708821
2008,750561
2008,76282
2008,943861
2008,77159
2008,922224
2008,77360
2008,77476
2008,77543
2008,77877
2008,1168165
2013,1013857
2008,78128
2008,78814
2008,1338749
2013,1013934
2008,8192
2008,788784
2008,81362
2013,23111
2013,886744
2008,751652
2008,700841
2008,742278
2008,1047122
2008,82811
2008,350698
2013,1013880
2008,84748
2008,84792
2008,84839
2008,85408
2013,1090425
2008,85961
2008,350894
2008,766829
2008,930184
2008,754737
2008,87347
2008,350644
2008,1012100
2008,88790
2008,89089
2008,1066138
2008,354963
2008,91142
2008,721083
2008,91767
2008,91928
2008,320575
2013,1015739
2008,1056903
2008,92380
2008,92472
2008,7332
2008,743238
2013,1449732
2008,93389
2008,93456
2008,94049
2008,310764
2008,95029
2013,1017303
2008,95304
2008,351817
2008,96289
2008,96412
2008,96763
2013,861878
2008,1018963
2008,96943
2008,97134
2008,1024725
2008,97210
2008,50104
2013,65770
2008,319687
2008,97745
2008,97854
2008,98362
2013,916457
2008,860731
2008,100517
2008,757011
2008,1002910
2008,100885
2008,798949
2008,731766
2008,1090727
2008,355999
2008,101830
2008,750004
2013,831547
2008,755001
2008,352915
2008,102729
2008,103145
2008,206030
2008,103730
2008,1396009
2008,110430
2008,737300
2008,104918
2013,1017968
2008,105770
2008,1159297
2008,107263
2013,1016169
2008,783325
2008,318996
2008,716006
2013,1017673
2008,763744
2008,764579
2008,773910
2008,786947
2013,1019737
2008,789863
2008,790070
2008,729922
2013,1013488
2008,790705
2008,791915
2008,792977
2008,791908
2008,792985
2008,793952
2008,793733
2008,784977
2008,749251
2008,795403
2013,1019695
2008,789460
2008,1232241
2008,45919
2008,1340786
2008,785161
2013,1019849
2008,854852
2008,798354
2008,799088
2008,795551
2008,351834
2013,896264
2008,355777
2008,740726
2008,746834
2013,912183
2008,805264
2008,1116463
2009,801898
2008,807884
2008,790526
2008,812701
2008,794323
2008,814549
2008,810829
2008,805022
2013,1021860
2008,814361
2008,816284
2008,816956
2008,817135
2013,830656
2008,352747
2008,811532
2008,813828
2008,816159
2008,820081
2008,59440
2008,822818
2008,768411
2008,1056087
2008,820237
2008,815556
2013,1018003
2008,1180262
2008,820313
2008,931015
2008,768251
